year,area,subject,ranking,univ_title,country,QS_stars_rating,ovarall_score
2013,Arts & Humanities,philosophy,1,University of Oxford,United Kingdom,5,98.5
2013,Arts & Humanities,philosophy,2,University of Cambridge,United Kingdom,5,87.2
2013,Arts & Humanities,philosophy,3,Princeton University,United States,5,86.7
2013,Arts & Humanities,philosophy,4,New York University (NYU),United States,5,86.1
2013,Arts & Humanities,philosophy,5,"University of California, Berkeley (UCB)",United States,0,83
2013,Arts & Humanities,philosophy,6,Massachusetts Institute of Technology (MIT),United States,6,81.8
2013,Arts & Humanities,philosophy,7,University of Pittsburgh,United States,0,81.5
2013,Arts & Humanities,philosophy,8,Rutgers University - New Brunswick,United States,0,80.6
2013,Arts & Humanities,philosophy,9,Stanford University,United States,5,80.5
2013,Arts & Humanities,philosophy,10,The Australian National University,Australia,6,80
2013,Arts & Humanities,philosophy,11,University of Toronto,Canada,0,78.5
2013,Arts & Humanities,philosophy,12,University of St Andrews,United Kingdom,0,77
2013,Arts & Humanities,philosophy,13,London School of Economics and Political Science (LSE),United Kingdom,0,76.3
2013,Arts & Humanities,philosophy,14,Harvard University,United States,5,76.2
2013,Arts & Humanities,philosophy,15,Columbia University,United States,5,74.4
2013,Arts & Humanities,philosophy,16,King's College London,United Kingdom,0,73.2
2013,Arts & Humanities,philosophy,17,Peking University,China,0,72.8
2013,Arts & Humanities,philosophy,18,McGill University,Canada,0,71.7
2013,Arts & Humanities,philosophy,19,University of Michigan,United States,5,71.6
2013,Arts & Humanities,philosophy,20,University of Chicago,United States,5,71
2013,Arts & Humanities,philosophy,21,Yale University,United States,5,70.9
2013,Arts & Humanities,philosophy,22,The University of Edinburgh,United Kingdom,0,70.8
2013,Arts & Humanities,philosophy,23,UCL (University College London),United Kingdom,0,70.3
2013,Arts & Humanities,philosophy,24,Humboldt-Universit?t zu Berlin,Germany,0,70
2013,Arts & Humanities,philosophy,25,Ruprecht-Karls-Universitaet Heidelberg,Germany,0,69.1
2013,Arts & Humanities,philosophy,26,Universit? Paris 1 Panth?on-Sorbonne,France,0,68.8
2013,Arts & Humanities,philosophy,27,KU Leuven,Belgium,0,68.6
