course_id,title,provider,course_length,effort,subject,price_origin,price,level,num_school,school_1,school_2,school_3,school_4,language,language_origin,url,name,bio,img,basic_info
0,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),Coursera,8,"4 hours of study, 10 hours of active project work",Business Strategy,Purchase Course ¡¤ US$49 USD,49,Beginner,1,University System of Georgia,,,,English,English,https://www.coursera.org/learn/business-model-canvas,"Dan Stotz, Director, Online Executive Education","Michael J. Coles College of Business, Kennesaw State University",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/79/753d90b87111e5b5992b53a95dfdb5/Dan-Stotz-Photo.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
0,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),Coursera,8,"4 hours of study, 10 hours of active project work",Business Strategy,Purchase Course ¡¤ US$49 USD,49,Beginner,1,University System of Georgia,,,,English,English,https://www.coursera.org/learn/business-model-canvas,"David Kirkland, M.S., Lead Instructional Designer",New Learning Models,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c1/6f5270cc2611e5a1f3f3fb20b8a152/Screen-Shot-2016-02-05-at-11.37.02-AM.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
1,Capstone - Managing Board Change for Higher Levels of Leadership and Governance Effectiveness,Coursera,8,null,Leadership and Management,null,49,null,1,The State University of New York,,,,English,English,https://www.coursera.org/learn/nonprofit-gov-capstone,"Prof. Yvonne D. Harrison, PhD, Assistant Professor",Department of Public Administration and Policy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/50/1c3da041f111e5a959d31af4d127d6/IMG_0007.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 4 in the Improving Leadership & Governance in Nonprofit Organizations Specialization.
1,Capstone - Managing Board Change for Higher Levels of Leadership and Governance Effectiveness,Coursera,8,null,Leadership and Management,null,49,null,1,The State University of New York,,,,English,English,https://www.coursera.org/learn/nonprofit-gov-capstone,"Vic Murray, Adjunct Professor","School of Public Administration, University of Victoria",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6d/5ff8e07ea411e4992d6546ec92ba16/VVM_20Photo.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 4 in the Improving Leadership & Governance in Nonprofit Organizations Specialization.
2,Estrategias para ganar. Meteorolog?a en la vuelta al mundo,Coursera,6,"6 weeks of study, 3-4 hours/week",Physics and Astronomy,Purchase Course ¡¤ US$49 USD,49,Intermediate,1,Universitat de Barcelona,,,,Spanish,Spanish,https://www.coursera.org/learn/estrategiasparaganar-meteorologia,Tom?s Molina,null,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6e/13e4904e4b11e6b580f7303e832967/Tom_s-Molina.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
3,Invitation to Mathematics ????? ????????,Coursera,12,22 hours,Math and Logic,Purchase Course ¡¤ US$49 USD,49,null,1,Hebrew University of Jerusalem,,,,Hebrew,Hebrew,https://www.coursera.org/learn/introduction-to-math,Raz Kupferman,Mathematics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/36/5eab61f8ab3cc938b9aa9bd2d9b07b/a.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
3,Invitation to Mathematics ????? ????????,Coursera,12,22 hours,Math and Logic,Purchase Course ¡¤ US$49 USD,49,null,1,Hebrew University of Jerusalem,,,,Hebrew,Hebrew,https://www.coursera.org/learn/introduction-to-math,Itamar Cwik,Mathematics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a0/bee6317dba2b55e05385cf3e884136/c.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
3,Invitation to Mathematics ????? ????????,Coursera,12,22 hours,Math and Logic,Purchase Course ¡¤ US$49 USD,49,null,1,Hebrew University of Jerusalem,,,,Hebrew,Hebrew,https://www.coursera.org/learn/introduction-to-math,Ehud de Shalit,Mathematics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/1d/ede1ed8eec6761aa7627d69dbbe917/b.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
4,Javaïïßí??,Coursera,12,null,Software Development,Purchase Course ¡¤ US$29 USD,29,Intermediate,1,Peking University,,,,Chinese (Simplified),Chinese (Simplified),https://www.coursera.org/learn/java-chengxu-sheji,"ÓÐÓÞÞÂ, ÚÏÞÍ",ÝÁÌÈÓÞ?ãáãÓÎ¡?Ðü??êÂ,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/ef/fb6960a79e11e4b0138d63be7c15a2/IMG_0019-s.JPG?auto=format&dpr=1&w=88&h=88&fit=crop,null
5,K-12 Blended & Online Learning,Coursera,8,null,Education,Purchase Course ¡¤ US$49 USD,49,null,1,University System of Georgia,,,,"English, Subtitles: Indonesian","English, Subtitles: Indonesian",https://www.coursera.org/learn/k-12-online-education,"Anissa Lokey-Vega, Ph.D., Assistant Professor of Instructional Technology",Department of Instructional Technology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c3/3ade19f88af1a7a312adb7e4ad64da/Anissa_headshot.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
