	Design & Creativity	Economics	Machine Learning	Computer Security and Networks	Algorithms	Computer Science	Web Development	Theoretical Computer Science
heaps	1	0	0	0	0	0	0	0
programming	1	0	0	0	0	0	0	0
recognize	1	0	0	0	0	0	0	0
prototyping	1	0	0	0	0	0	0	0
examine	1	0	0	0	0	0	0	0
identify	0	1	0	0	0	0	0	0
result	0	1	0	0	0	0	0	0
proofs	0	1	0	0	0	0	0	0
integrity	0	1	0	0	0	0	0	0
regression	0	1	0	0	0	0	0	0
languages	0	0	2	0	0	0	0	0
encryption	0	0	2	0	0	0	0	0
section	0	0	2	0	0	0	0	0
quicksort	0	0	2	0	0	0	0	0
machine	0	0	2	0	0	0	0	0
publickey	0	0	0	1	0	0	0	0
automata	0	0	0	1	0	0	0	0
bigoh	0	0	0	1	0	0	0	0
compilers	0	0	0	1	0	0	0	0
intractable	0	0	0	1	0	0	0	0
linear	0	0	0	0	1	0	0	0
web	0	0	0	0	1	0	0	0
models	0	0	0	0	1	0	0	0
interfaces	0	0	0	0	1	0	0	0
ciphers	0	0	0	0	1	0	0	0
regular	0	0	0	0	0	1	0	0
conquer	0	0	0	0	0	1	0	0
excellent	0	0	0	0	0	1	0	0
contextfree	0	0	0	0	0	1	0	0
discuss	0	0	0	0	0	1	0	0
compiler	0	0	0	0	0	0	1	0
randomness	0	0	0	0	0	0	1	0
neural	0	0	0	0	0	0	1	0
list	0	0	0	0	0	0	1	0
crypto	0	0	0	0	0	0	1	0
algorithms	0	0	0	0	0	0	0	1
logistic	0	0	0	0	0	0	0	1
design	0	0	0	0	0	0	0	1
model	0	0	0	0	0	0	0	1
tipping	0	0	0	0	0	0	0	1
