course_id,course_title,img_url,instructor_name,instructor_bio,gender,age
edX-0,Introduction to Computer Science and Programming Using Python,https://www.edx.org/sites/default/files/person/image/professor-grimson.9e074a08dd2b.jpg,Eric Grimson,"Bernard Gordon Professor of Medical Engineering, Professor of Computer Science at MIT",male,55.7
edX-0,Introduction to Computer Science and Programming Using Python,https://www.edx.org/sites/default/files/person/image/professor-guttag.3ba4fc7c1377.jpg,John Guttag,Dugald C. Jackson Professor of Computer Science and Electrical Engineering at MIT,male,54.8
edX-0,Introduction to Computer Science and Programming Using Python,https://www.edx.org/sites/default/files/person/image/anabell_x110.jpg,Ana Bell,"Lecturer, Computer Science and Electrical Engineering at MIT",female,37.4
edX-1,English Grammar and Style,https://www.edx.org/sites/default/files/person/image/uqx-write101x-petelin-110x110.png,Roslyn Petelin,null,female,49.9
edX-1,English Grammar and Style,https://www.edx.org/sites/default/files/person/image/uqx-write101x-gwynne-110x110.png,Amber Gwynne,null,female,32.1
edX-1,English Grammar and Style,https://www.edx.org/sites/default/files/person/image/uqx-write101x-porter-110x110.png,Megan Porter,null,female,27.1
edX-2,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/david-malan110x110_v2.jpg,David J. Malan,Gordon McKay Professor of the Practice of Computer Science at Harvard University,none,0.0
edX-2,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/robert-bowden110x110.jpg,Rob Bowden,Doctoral Candidate in Computer Science at Harvard University,none,0.0
edX-2,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/zchan00.jpg,Zamyla Chan,Doctoral Candidate in Chemistry at Harvard University,none,0.0
edX-2,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/doug-lloyd110x110.jpg,Doug Lloyd,Senior Preceptor in Computer Science at Harvard University,male,30.5
edX-3,Data Science Orientation,https://www.edx.org/sites/default/files/person/image/graeme_malcolm.jpg,Graeme Malcolm,Senior Content Developer at Microsoft Learning Experiences,male,50.4
edX-3,Data Science Orientation,https://www.edx.org/sites/default/files/person/image/liberty_munson_2009_02_110x110.jpg,Liberty J. Munson,Principal Psychometrician and Quality Lead at Microsoft,female,39.9
edX-4,Introduction to Linux,https://www.edx.org/sites/default/files/person/image/linux.jpg,Jerry Cooperstein PhD,null,male,57.8
edX-5,Introduction to Marketing: Tools to Set Enterprises Apart,https://www.edx.org/sites/default/files/person/image/malcolm_kirkup-110x110.jpg,Malcolm Kirkup,null,male,48.2
edX-6,Analyzing and Visualizing Data with Excel,https://prod-edx-mktg-edit.edx.org/sites/default/files/person/image/dat206x-hoter-110x110.jpg,Dany Hoter,Senior Program Manager at Excel team,male,42.5
edX-7,Introduction to Project Management,https://www.edx.org/sites/default/files/person/image/project101x-schultmann.png,Frank Schultmann,null,male,45.8
edX-7,Introduction to Project Management,https://www.edx.org/sites/default/files/person/image/project101x-lindsay.png,Noel Lindsay,null,male,48.7
edX-7,Introduction to Project Management,https://www.edx.org/sites/default/files/person/image/project101x-jordan.png,Anton Jordaan,null,male,42.2
edX-7,Introduction to Project Management,https://www.edx.org/sites/default/files/person/image/project101x-sing.png,John Sing,null,male,60.5
edX-7,Introduction to Project Management,https://www.edx.org/sites/default/files/person/image/project101x-bachtis.png,Stella Bachtis,null,female,40.5
edX-8,Software Construction in Java,https://www.edx.org/sites/default/files/person/image/headshot-hires_110x110.jpg,Rob Miller,"Professor, Computer Science at MIT",male,31.2
edX-9,IELTS Academic Test Preparation,https://webview.edx.org/sites/default/files/person/image/ieltsx-ielts_for_academic_entry-mathieson-110x110.png,Iain Mathieson,null,male,37.2
edX-9,IELTS Academic Test Preparation,https://webview.edx.org/sites/default/files/person/image/martin_ielts.jpeg,Martin Dutton,null,male,37.5
edX-9,IELTS Academic Test Preparation,https://webview.edx.org/sites/default/files/person/image/ieltsx-ielts_for_academic_entry-yucel-110x110.png,Megan Yucel,null,female,41.8
edX-9,IELTS Academic Test Preparation,https://webview.edx.org/sites/default/files/person/image/ieltsx-ielts_for_academic_entry-walker-110x110.png,Stephen Walker,null,male,41.0
edX-9,IELTS Academic Test Preparation,https://webview.edx.org/sites/default/files/person/image/ieltsx-ielts_for_academic_entry-coleman-110x110.png,Philippa Coleman,null,male,44.2
edX-10,Introduction to Marketing,https://www.edx.org/sites/default/files/person/image/darren-dahl-110-by-110.jpg,Darren Dahl,null,male,43.7
edX-10,Introduction to Marketing,https://www.edx.org/sites/default/files/person/image/paul-cubbon-110-by-110.jpg,Paul Cubbon,null,male,37.7
edX-11,Data Analysis: Take It to the MAX(),https://www.edx.org/sites/default/files/person/image/felienne-hermans_110x110.jpg,Felienne Hermans,Assistant Professor at Delft University of Technology,female,29.5
edX-12,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/david-malan110x110_v2.jpg,David J. Malan,Gordon McKay Professor of the Practice of Computer Science at Harvard University,none,0.0
edX-12,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/robert-bowden110x110.jpg,Rob Bowden,Doctoral Candidate in Computer Science at Harvard University,none,0.0
edX-12,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/zchan00.jpg,Zamyla Chan,Doctoral Candidate in Chemistry at Harvard University,none,0.0
edX-12,Introduction to Computer Science,https://webview.edx.org/sites/default/files/person/image/doug-lloyd110x110.jpg,Doug Lloyd,Senior Preceptor in Computer Science at Harvard University,male,30.5
edX-13,The Science of Everyday Thinking,https://www.edx.org/sites/default/files/person/image/think101x-tangen-110x110.png,Jason Tangen,Senior Lecturer in Cognition at The University of Queensland,male,40.0
edX-13,The Science of Everyday Thinking,https://www.edx.org/sites/default/files/person/image/think101x-thompson-110x110.png,Matthew Thompson,Postdoctoral Fellow at The University of Queensland,male,25.1
edX-13,The Science of Everyday Thinking,https://www.edx.org/sites/default/files/person/image/emma_mackenzie110x110.jpg,Emma MacKenzie,null,none,0.0
edX-14,Introduction to C++,https://www.edx.org/sites/default/files/person/image/gerry_obrien.jpg,Gerry O'Brien,Senior Content Development Manager at Microsoft,male,48.9
edX-14,Introduction to C++,https://www.edx.org/sites/default/files/person/image/dev210x-gregory-110x110.png,Kate Gregory,null,male,46.0
edX-14,Introduction to C++,https://www.edx.org/sites/default/files/person/image/dev210x-mcnellis-110x110.png,James McNellis,null,male,32.2
edX-15,Statistical Thinking for Data Science and Analytics,https://www.edx.org/sites/default/files/person/image/evaascarza110x110.png,Eva Ascarza,Assistant Professor of Marketing at Columbia Business School at Columbia University,female,32.1
edX-15,Statistical Thinking for Data Science and Analytics,https://www.edx.org/sites/default/files/person/image/jamescurley110x110.jpg,James Curley,Assistant Professor of Psychology at Columbia University,male,35.4
edX-15,Statistical Thinking for Data Science and Analytics,https://www.edx.org/sites/default/files/person/image/andrewgelman110x110.png,Andrew Gelman,Professor of Statistics and Political Science at Columbia University,male,44.0
